gene_id,gene_name,entrezid,gene_biotype
ENSG00000229376,CICP3,NA,processed_pseudogene
ENSG00000228327,AL669831.1,NA,transcribed_unprocessed_pseudogene
ENSG00000223181,RNU6-1199P,NA,snRNA
ENSG00000229905,AL669831.2,NA,lncRNA
ENSG00000237491,LINC01409,NA,lncRNA
ENSG00000230092,AL669831.4,NA,transcribed_unprocessed_pseudogene
ENSG00000177757,FAM87B,NA,lncRNA
ENSG00000228794,LINC01128,NA,lncRNA
ENSG00000225880,LINC00115,NA,lncRNA
ENSG00000230368,FAM41C,NA,lncRNA
ENSG00000234711,TUBB8P11,NA,unprocessed_pseudogene
ENSG00000283040,AL669831.5,NA,transcribed_unprocessed_pseudogene
ENSG00000272438,AL645608.6,NA,lncRNA
ENSG00000230699,AL645608.2,NA,lncRNA
ENSG00000241180,AL645608.4,NA,lncRNA
ENSG00000223764,LINC02593,NA,lncRNA
ENSG00000187634,SAMD11,148398,protein_coding
ENSG00000188976,NOC2L,26155,protein_coding
ENSG00000187961,KLHL17,339451,protein_coding
ENSG00000187583,PLEKHN1,84069,protein_coding
ENSG00000187642,PERM1,84808,protein_coding
ENSG00000272512,AL645608.7,NA,lncRNA
ENSG00000188290,HES4,57801,protein_coding
ENSG00000187608,ISG15,9636,protein_coding
ENSG00000231702,AL645608.3,NA,processed_pseudogene
ENSG00000224969,AL645608.1,NA,lncRNA
ENSG00000188157,AGRN,375790,protein_coding
ENSG00000242590,AL645608.5,NA,lncRNA
ENSG00000217801,AL390719.1,NA,transcribed_unprocessed_pseudogene
ENSG00000273443,AL645608.8,NA,lncRNA
ENSG00000237330,RNF223,401934,protein_coding
ENSG00000131591,C1orf159,54991,protein_coding
ENSG00000223823,LINC01342,NA,lncRNA
ENSG00000207730,MIR200B,406984,miRNA
ENSG00000207607,MIR200A,NA,miRNA
ENSG00000198976,MIR429,554210,miRNA
ENSG00000272141,AL390719.2,NA,lncRNA
ENSG00000205231,TTLL10-AS1,NA,lncRNA
ENSG00000162571,TTLL10,254173,protein_coding
ENSG00000186891,TNFRSF18,8784,protein_coding
ENSG00000186827,TNFRSF4,7293,protein_coding
ENSG00000078808,SDF4,51150,protein_coding
ENSG00000176022,B3GALT6,126792,protein_coding
ENSG00000184163,C1QTNF12,388581,protein_coding
ENSG00000260179,AL162741.1,NA,lncRNA
ENSG00000160087,UBE2J2,118424,protein_coding
ENSG00000230415,LINC01786,NA,lncRNA
ENSG00000162572,SCNN1D,6339,protein_coding
ENSG00000131584,ACAP3,116983,protein_coding
ENSG00000278073,MIR6726,NA,miRNA
ENSG00000169972,PUSL1,126789,protein_coding
ENSG00000127054,INTS11,54973,protein_coding
ENSG00000283712,MIR6727,NA,miRNA
ENSG00000240731,AL139287.1,NA,lncRNA
ENSG00000224051,CPTP,80772,protein_coding
ENSG00000169962,TAS1R3,83756,protein_coding
ENSG00000107404,DVL1,1855,protein_coding
ENSG00000284372,MIR6808,NA,miRNA
ENSG00000162576,MXRA8,54587,protein_coding
ENSG00000175756,AURKAIP1,54998,protein_coding
ENSG00000223663,NDUFB4P8,NA,processed_pseudogene
ENSG00000221978,CCNL2,81669,protein_coding
ENSG00000224870,MRPL20-AS1,NA,lncRNA
ENSG00000242485,MRPL20,55052,protein_coding
ENSG00000264293,RN7SL657P,NA,misc_RNA
ENSG00000272455,AL391244.2,NA,lncRNA
ENSG00000235098,ANKRD65,441869,protein_coding
ENSG00000225905,AL391244.1,NA,lncRNA
ENSG00000205116,TMEM88B,643965,protein_coding
ENSG00000225285,LINC01770,NA,lncRNA
ENSG00000179403,VWA1,64856,protein_coding
ENSG00000215915,ATAD3C,219293,protein_coding
ENSG00000160072,ATAD3B,83858,protein_coding
ENSG00000284740,AL645728.2,NA,transcribed_unprocessed_pseudogene
ENSG00000197785,ATAD3A,55210,protein_coding
ENSG00000205090,TMEM240,339453,protein_coding
ENSG00000160075,SSU72,29101,protein_coding
ENSG00000215014,AL645728.1,NA,lncRNA
ENSG00000274481,AL691432.3,NA,processed_pseudogene
ENSG00000228594,FNDC10,643988,protein_coding
ENSG00000272106,AL691432.2,NA,lncRNA
ENSG00000197530,MIB2,142678,protein_coding
ENSG00000189409,MMP23B,8510,protein_coding
ENSG00000248333,CDK11B,984,protein_coding
ENSG00000272004,FO704657.1,NA,lncRNA
ENSG00000189339,SLC35E2B,728661,protein_coding
ENSG00000269737,AL691432.1,NA,transcribed_processed_pseudogene
ENSG00000215914,MMP23A,NA,unprocessed_pseudogene
ENSG00000008128,CDK11A,728642,protein_coding
ENSG00000268575,AL031282.2,NA,lncRNA
ENSG00000227775,AL031282.1,NA,transcribed_processed_pseudogene
ENSG00000215790,SLC35E2A,9906,protein_coding
ENSG00000008130,NADK,65220,protein_coding
ENSG00000078369,GNB1,2782,protein_coding
ENSG00000231050,AL109917.1,NA,lncRNA
ENSG00000169885,CALML6,163688,protein_coding
ENSG00000178821,TMEM52,339456,protein_coding
ENSG00000142609,CFAP74,85452,protein_coding
ENSG00000233542,AL391845.2,NA,lncRNA
ENSG00000187730,GABRD,2563,protein_coding
ENSG00000226969,AL391845.1,NA,lncRNA
ENSG00000067606,PRKCZ,5590,protein_coding
ENSG00000271806,AL590822.2,NA,lncRNA
ENSG00000182873,PRKCZ-AS1,NA,lncRNA
ENSG00000162585,FAAP20,199990,protein_coding
ENSG00000234396,AL590822.1,NA,lncRNA
ENSG00000157933,SKI,6497,protein_coding
ENSG00000116151,MORN1,79906,protein_coding
ENSG00000272161,AL589739.1,NA,lncRNA
ENSG00000269896,AL513477.1,NA,transcribed_processed_pseudogene
ENSG00000272420,AL513477.2,NA,lncRNA
ENSG00000157916,RER1,11079,protein_coding
ENSG00000157911,PEX10,5192,protein_coding
ENSG00000149527,PLCH2,9651,protein_coding
ENSG00000224387,AL139246.1,NA,lncRNA
ENSG00000229393,AL139246.4,NA,lncRNA
ENSG00000157881,PANK4,55229,protein_coding
ENSG00000197921,HES5,388585,protein_coding
ENSG00000272449,AL139246.5,NA,lncRNA
ENSG00000238164,TNFRSF14-AS1,NA,lncRNA
ENSG00000157873,TNFRSF14,8764,protein_coding
ENSG00000225931,AL139246.2,NA,TEC
ENSG00000228037,AL139246.3,NA,lncRNA
ENSG00000157870,PRXL2B,127281,protein_coding
ENSG00000142606,MMEL1,79258,protein_coding
ENSG00000237058,AL831784.1,NA,lncRNA
ENSG00000215912,TTC34,100287898,protein_coding
ENSG00000283259,AC242022.1,NA,lncRNA
ENSG00000233234,AL592464.2,NA,lncRNA
ENSG00000231630,AL592464.1,NA,lncRNA
ENSG00000284745,AL589702.1,NA,lncRNA
ENSG00000169717,ACTRT2,140625,protein_coding
ENSG00000177133,PRDM16-DT,NA,lncRNA
ENSG00000142611,PRDM16,63976,protein_coding
ENSG00000283572,MIR4251,NA,miRNA
ENSG00000226286,AL008733.1,NA,lncRNA
ENSG00000279839,AL512383.1,NA,TEC
ENSG00000272235,AL590438.1,NA,lncRNA
ENSG00000130762,ARHGEF16,27237,protein_coding
ENSG00000272088,AL512413.1,NA,lncRNA
ENSG00000162591,MEGF6,1953,protein_coding
ENSG00000207776,MIR551A,NA,miRNA
ENSG00000238260,AL513320.1,NA,lncRNA
ENSG00000158109,TPRG1L,127262,protein_coding
ENSG00000116213,WRAP73,49856,protein_coding
ENSG00000078900,TP73,7161,protein_coding
ENSG00000227589,AL136528.1,NA,lncRNA
ENSG00000235131,AL136528.2,NA,lncRNA
ENSG00000227372,TP73-AS1,57212,transcribed_unitary_pseudogene
ENSG00000276189,AL136528.3,NA,misc_RNA
ENSG00000162592,CCDC27,148870,protein_coding
ENSG00000235169,SMIM1,388588,protein_coding
ENSG00000130764,LRRC47,57470,protein_coding
ENSG00000266075,RN7SL574P,NA,misc_RNA
ENSG00000272153,AL365330.1,NA,lncRNA
ENSG00000116198,CEP104,9731,protein_coding
ENSG00000169598,DFFB,1677,protein_coding
ENSG00000198912,C1orf174,339448,protein_coding
ENSG00000236423,LINC01134,NA,lncRNA
ENSG00000233304,LINC01346,NA,lncRNA
ENSG00000226374,LINC01345,NA,lncRNA
ENSG00000284668,LINC02780,NA,lncRNA
ENSG00000284703,AL805961.1,NA,lncRNA
ENSG00000229280,EEF1DP6,NA,processed_pseudogene
ENSG00000235054,LINC01777,NA,lncRNA
ENSG00000284694,AL355602.1,NA,lncRNA
ENSG00000227169,Z98747.1,NA,lncRNA
ENSG00000232596,LINC01646,NA,lncRNA
ENSG00000196581,AJAP1,55966,protein_coding
ENSG00000284739,BX005132.1,NA,lncRNA
ENSG00000284674,LINC02781,NA,lncRNA
ENSG00000231510,LINC02782,NA,lncRNA
ENSG00000284616,AL139823.1,NA,lncRNA
ENSG00000284692,Z98259.3,NA,lncRNA
ENSG00000284666,Z98259.2,NA,lncRNA
ENSG00000260972,Z98259.1,NA,lncRNA
ENSG00000283356,Z97988.2,NA,unprocessed_pseudogene
ENSG00000236948,AL365255.1,NA,lncRNA
ENSG00000264341,Z97988.1,NA,miRNA
ENSG00000264101,MIR4689,NA,miRNA
ENSG00000131697,NPHP4,261734,protein_coding
ENSG00000069424,KCNAB2,8514,protein_coding
ENSG00000116254,CHD5,26038,protein_coding
ENSG00000285629,AL031847.2,NA,protein_coding
ENSG00000116251,RPL22,6146,protein_coding
ENSG00000226944,AL031847.1,NA,lncRNA
ENSG00000158286,RNF207,388591,protein_coding
ENSG00000116237,ICMT,23463,protein_coding
ENSG00000225077,LINC00337,NA,lncRNA
ENSG00000173673,HES3,390992,protein_coding
ENSG00000158292,GPR153,387509,protein_coding
ENSG00000097021,ACOT7,11332,protein_coding
ENSG00000271746,AL031848.2,NA,lncRNA
ENSG00000069812,HES2,54626,protein_coding
ENSG00000187017,ESPN,83715,protein_coding
ENSG00000265392,MIR4252,NA,miRNA
ENSG00000231868,AL031848.1,NA,lncRNA
ENSG00000215788,TNFRSF25,8718,protein_coding
ENSG00000171680,PLEKHG5,57449,protein_coding
ENSG00000162408,NOL9,79707,protein_coding
ENSG00000253022,RNU6-731P,NA,snRNA
ENSG00000229519,AL591866.1,NA,processed_pseudogene
ENSG00000173662,TAS1R1,80835,protein_coding
ENSG00000204859,ZBTB48,3104,protein_coding
ENSG00000162413,KLHL21,9903,protein_coding
ENSG00000116273,PHF13,148479,protein_coding
ENSG00000041988,THAP3,90326,protein_coding
ENSG00000007923,DNAJC11,55735,protein_coding
ENSG00000228750,LINC01672,NA,lncRNA
ENSG00000284744,AL591163.1,NA,lncRNA
ENSG00000237436,CAMTA1-DT,NA,lncRNA
ENSG00000171735,CAMTA1,23261,protein_coding
ENSG00000227950,AL590128.1,NA,processed_pseudogene
ENSG00000237365,AL512330.1,NA,lncRNA
ENSG00000207056,RNU1-8P,NA,snRNA
ENSG00000237402,CAMTA1-IT1,NA,lncRNA
ENSG00000237728,Z97987.1,NA,lncRNA
ENSG00000225126,AL365194.1,NA,lncRNA
ENSG00000270171,AL359881.3,NA,lncRNA
ENSG00000270035,AL359881.2,NA,lncRNA
ENSG00000269978,AL359881.1,NA,lncRNA
ENSG00000049245,VAMP3,9341,protein_coding
ENSG00000269925,Z98884.2,NA,lncRNA
ENSG00000049246,PER3,8863,protein_coding
ENSG00000236266,Z98884.1,NA,lncRNA
ENSG00000049247,UTS2,10911,protein_coding
ENSG00000049249,TNFRSF9,3604,protein_coding
ENSG00000270330,AL009183.1,NA,processed_pseudogene
ENSG00000116288,PARK7,11315,protein_coding
ENSG00000200344,Y_RNA,NA,misc_RNA
ENSG00000284747,AL034417.4,NA,lncRNA
ENSG00000284716,AL034417.3,NA,lncRNA
ENSG00000116285,ERRFI1,54206,protein_coding
ENSG00000238290,AL034417.2,NA,lncRNA
ENSG00000232848,AL034417.1,NA,processed_pseudogene
ENSG00000229305,AL358876.1,NA,processed_pseudogene
ENSG00000227634,LINC01714,NA,lncRNA
ENSG00000200975,RNU1-7P,NA,snRNA
ENSG00000233645,AL358876.2,NA,lncRNA
ENSG00000251977,RNU6-991P,NA,snRNA
ENSG00000162426,SLC45A1,50651,protein_coding
ENSG00000142599,RERE,473,protein_coding
ENSG00000232912,RERE-AS1,NA,lncRNA
ENSG00000221083,AL096855.1,NA,snoRNA
ENSG00000270282,AL096855.2,NA,processed_pseudogene
ENSG00000234619,RPL7P11,NA,processed_pseudogene
ENSG00000224315,RPL7P7,NA,processed_pseudogene
ENSG00000226545,AL357552.1,NA,unprocessed_pseudogene
ENSG00000228423,AL357552.2,NA,lncRNA
ENSG00000229716,RPL23AP19,NA,processed_pseudogene
ENSG00000074800,ENO1,2023,protein_coding
ENSG00000274258,MIR6728,NA,miRNA
ENSG00000230679,ENO1-AS1,NA,lncRNA
ENSG00000201725,RNU6-304P,NA,snRNA
ENSG00000238249,HMGN2P17,NA,processed_pseudogene
ENSG00000232208,AL139415.1,NA,processed_pseudogene
ENSG00000232663,AL139415.2,NA,processed_pseudogene
ENSG00000131686,CA6,765,protein_coding
ENSG00000265141,RN7SL451P,NA,misc_RNA
ENSG00000197241,SLC2A7,155184,protein_coding
ENSG00000142583,SLC2A5,6518,protein_coding
ENSG00000252404,AL158048.1,NA,scaRNA
ENSG00000180758,GPR157,80045,protein_coding
ENSG00000228526,MIR34AHG,NA,lncRNA
ENSG00000284357,MIR34A,NA,miRNA
ENSG00000234546,LNCTAM34A,102724571,lncRNA
ENSG00000049239,H6PD,9563,protein_coding
ENSG00000171621,SPSB1,80176,protein_coding
ENSG00000284652,BX323043.1,NA,lncRNA
ENSG00000284693,LINC02606,NA,lncRNA
ENSG00000252956,RNA5SP40,NA,rRNA_pseudogene
ENSG00000235263,AL928921.1,NA,lncRNA
ENSG00000171612,SLC25A33,84275,protein_coding
ENSG00000231181,AL954705.1,NA,processed_pseudogene
ENSG00000188807,TMEM201,199953,protein_coding
ENSG00000171608,PIK3CD,5293,protein_coding
ENSG00000179840,PIK3CD-AS1,NA,lncRNA
ENSG00000233268,AL691449.1,NA,processed_pseudogene
ENSG00000231789,PIK3CD-AS2,NA,lncRNA
ENSG00000171603,CLSTN1,22883,protein_coding
ENSG00000271264,MZT1P1,NA,processed_pseudogene
ENSG00000280113,AL357140.3,NA,TEC
ENSG00000178585,CTNNBIP1,56998,protein_coding
ENSG00000223989,AL357140.1,NA,lncRNA
ENSG00000162441,LZIC,84328,protein_coding
ENSG00000228150,AL357140.2,NA,lncRNA
ENSG00000173614,NMNAT1,64802,protein_coding
ENSG00000202415,RN7SKP269,NA,misc_RNA
ENSG00000283611,TMEM274P,NA,unitary_pseudogene
ENSG00000265521,MIR5697,NA,miRNA
ENSG00000241326,AL603962.1,NA,lncRNA
ENSG00000162444,RBP7,116362,protein_coding
ENSG00000130939,UBE4B,10277,protein_coding
ENSG00000224340,AL590639.1,NA,processed_pseudogene
ENSG00000233623,PGAM1P11,NA,processed_pseudogene
ENSG00000201746,RNU6-828P,NA,snRNA
ENSG00000054523,KIF1B,23095,protein_coding
ENSG00000264881,AL358013.1,NA,miRNA
ENSG00000199562,RNU6-37P,NA,snRNA
ENSG00000264501,RN7SL731P,NA,misc_RNA
ENSG00000284735,AL139424.3,NA,lncRNA
ENSG00000284642,AL139424.2,NA,lncRNA
ENSG00000142657,PGD,5226,protein_coding
ENSG00000271989,AL139424.1,NA,lncRNA
ENSG00000251503,CENPS-CORT,100526739,protein_coding
ENSG00000175279,CENPS,378708,protein_coding
ENSG00000241563,CORT,1325,protein_coding
ENSG00000160049,DFFA,1676,protein_coding
ENSG00000203469,AL354956.1,NA,lncRNA
ENSG00000142655,PEX14,5195,protein_coding
ENSG00000243267,RN7SL614P,NA,misc_RNA
ENSG00000130940,CASZ1,54897,protein_coding
ENSG00000272078,AL139423.1,NA,lncRNA
ENSG00000225158,HSPE1P24,NA,processed_pseudogene
ENSG00000175262,C1orf127,148345,protein_coding
ENSG00000215785,CFL1P6,NA,processed_pseudogene
ENSG00000120948,TARDBP,23435,protein_coding
ENSG00000277726,AL109811.3,NA,protein_coding
ENSG00000009724,MASP2,10747,protein_coding
ENSG00000271895,AL109811.2,NA,lncRNA
ENSG00000116649,SRM,6723,protein_coding
ENSG00000171824,EXOSC10,5394,protein_coding
ENSG00000226849,AL109811.1,NA,lncRNA
ENSG00000230337,EXOSC10-AS1,NA,lncRNA
ENSG00000198793,MTOR,2475,protein_coding
ENSG00000225602,MTOR-AS1,NA,lncRNA
ENSG00000253086,RNU6-537P,NA,snRNA
ENSG00000171819,ANGPTL7,10218,protein_coding
ENSG00000207451,RNU6-291P,NA,snRNA
ENSG00000238173,RPL39P6,NA,processed_pseudogene
ENSG00000120942,UBIAD1,29914,protein_coding
ENSG00000238199,UBE2V2P3,NA,processed_pseudogene
ENSG00000284646,AL031291.1,NA,lncRNA
ENSG00000224338,MTCYBP45,NA,processed_pseudogene
ENSG00000204624,DISP3,57540,protein_coding
ENSG00000235643,LINC01647,NA,lncRNA
ENSG00000284708,AL031731.1,NA,lncRNA
ENSG00000116661,FBXO2,26232,protein_coding
ENSG00000132879,FBXO44,93611,protein_coding
ENSG00000116663,FBXO6,26270,protein_coding
ENSG00000116670,MAD2L2,10459,protein_coding
ENSG00000162490,DRAXIN,374946,protein_coding
ENSG00000177674,AGTRAP,57085,protein_coding
ENSG00000215910,C1orf167,284498,protein_coding
ENSG00000177553,AL953897.1,NA,lncRNA
ENSG00000177000,MTHFR,4524,protein_coding
ENSG00000011021,CLCN6,1185,protein_coding
ENSG00000276470,AL021155.3,NA,misc_RNA
ENSG00000278852,AL021155.4,NA,misc_RNA
ENSG00000175206,NPPA,4878,protein_coding
ENSG00000275915,AL021155.2,NA,misc_RNA
ENSG00000120937,NPPB,4879,protein_coding
ENSG00000224904,AL021155.1,NA,processed_pseudogene
ENSG00000199347,RNU5E-1,NA,snRNA
ENSG00000201801,RNU5E-4P,NA,snRNA
ENSG00000116685,KIAA2013,90231,protein_coding
ENSG00000083444,PLOD1,5351,protein_coding
ENSG00000116688,MFN2,9927,protein_coding
ENSG00000270914,AL096840.1,NA,processed_pseudogene
ENSG00000116691,MIIP,60672,protein_coding
ENSG00000276869,MIR6729,NA,miRNA
ENSG00000243539,RN7SL649P,NA,misc_RNA
ENSG00000120949,TNFRSF8,943,protein_coding
ENSG00000201135,RNU6-777P,NA,snRNA
ENSG00000227875,RPL23AP89,NA,processed_pseudogene
ENSG00000283789,MIR7846,NA,miRNA
ENSG00000028137,TNFRSF1B,7133,protein_coding
ENSG00000263676,MIR4632,NA,miRNA
ENSG00000225196,RPL10P17,NA,processed_pseudogene
ENSG00000252969,SNORA70,NA,snoRNA
ENSG00000048707,VPS13D,55187,protein_coding
ENSG00000239149,SNORA59A,NA,snoRNA
ENSG00000229484,LINC02766,NA,lncRNA
ENSG00000162496,DHRS3,9249,protein_coding
ENSG00000221340,RNU6ATAC18P,NA,snRNA
ENSG00000276830,MIR6730,NA,miRNA
ENSG00000272482,AC254633.1,NA,lncRNA
ENSG00000204518,AADACL4,343066,protein_coding
ENSG00000226166,AC244670.1,NA,processed_pseudogene
ENSG00000188984,AADACL3,126767,protein_coding
ENSG00000157330,C1orf158,93190,protein_coding
ENSG00000116726,PRAMEF12,390999,protein_coding
ENSG00000116721,PRAMEF1,65121,protein_coding
ENSG00000228338,LINC01784,NA,lncRNA
ENSG00000239810,PRAMEF11,440560,protein_coding
ENSG00000231103,PRAMEF30P,NA,unprocessed_pseudogene
ENSG00000179172,HNRNPCL1,343069,protein_coding
ENSG00000120952,PRAMEF2,65122,protein_coding
ENSG00000243073,PRAMEF4,400735,protein_coding
ENSG00000187545,PRAMEF10,343071,protein_coding
ENSG00000204510,PRAMEF7,441871,protein_coding
ENSG00000207434,RNU6-1072P,NA,snRNA
ENSG00000234064,PRAMEF29P,NA,unprocessed_pseudogene
ENSG00000232423,PRAMEF6,440561,protein_coding
ENSG00000274178,PRAMEF28P,NA,unprocessed_pseudogene
ENSG00000274764,PRAMEF27,101929983,protein_coding
ENSG00000277058,HNRNPCL3,649330,protein_coding
ENSG00000229571,PRAMEF25,441873,protein_coding
ENSG00000277862,PRAMEF34P,NA,unprocessed_pseudogene
ENSG00000236179,PRAMEF35P,NA,unprocessed_pseudogene
ENSG00000275774,HNRNPCL2,440563,protein_coding
ENSG00000229978,PRAMEF36P,NA,transcribed_unprocessed_pseudogene
ENSG00000233336,AC245056.1,NA,lncRNA
ENSG00000280267,PRAMEF26,645359,protein_coding
ENSG00000179412,HNRNPCL4,101060301,protein_coding
ENSG00000204505,PRAMEF9,343070,protein_coding
ENSG00000279169,PRAMEF13,400736,protein_coding
ENSG00000279804,PRAMEF18,391003,protein_coding
ENSG00000250894,PRAMEF31P,NA,unprocessed_pseudogene
ENSG00000270601,PRAMEF5,343068,protein_coding
ENSG00000231219,PRAMEF32P,NA,unprocessed_pseudogene
ENSG00000182330,PRAMEF8,391002,protein_coding
ENSG00000237700,PRAMEF33,645382,protein_coding
ENSG00000204501,PRAMEF15,653619,protein_coding
ENSG00000228229,AC243961.1,NA,lncRNA
ENSG00000204481,PRAMEF14,729528,protein_coding
ENSG00000204480,PRAMEF19,645414,protein_coding
ENSG00000204479,PRAMEF17,391004,protein_coding
ENSG00000204478,PRAMEF20,645425,protein_coding
ENSG00000162494,LRRC38,126755,protein_coding
ENSG00000259961,AL354712.1,NA,lncRNA
ENSG00000215909,BRWD1P1,NA,processed_pseudogene
ENSG00000162493,PDPN,10630,protein_coding
ENSG00000222952,RNA5SP41,NA,rRNA_pseudogene
ENSG00000237445,AL359771.1,NA,lncRNA
ENSG00000253085,AL359771.2,NA,scaRNA
ENSG00000116731,PRDM2,7799,protein_coding
ENSG00000189337,KAZN,23254,protein_coding
ENSG00000252151,RNU6-1265P,NA,snRNA
ENSG00000231606,AL357873.1,NA,lncRNA
ENSG00000234593,KAZN-AS1,NA,lncRNA
ENSG00000235829,TBCAP2,NA,processed_pseudogene
ENSG00000175147,TMEM51-AS1,NA,lncRNA
ENSG00000171729,TMEM51,55092,protein_coding
ENSG00000204464,C1orf195,NA,lncRNA
ENSG00000215720,AL035405.1,NA,processed_pseudogene
ENSG00000278480,AL391094.1,NA,processed_pseudogene
ENSG00000142621,FHAD1,114827,protein_coding
ENSG00000233485,AL031283.2,NA,lncRNA
ENSG00000236045,AL031283.3,NA,lncRNA
ENSG00000228140,AL031283.1,NA,lncRNA
ENSG00000142634,EFHD2,79180,protein_coding
ENSG00000162438,CTRC,11330,protein_coding
ENSG00000142615,CELA2A,63036,protein_coding
ENSG00000215704,CELA2B,51032,protein_coding
ENSG00000132906,CASP9,842,protein_coding
ENSG00000116138,DNAJC16,23341,protein_coding
ENSG00000251866,SCARNA21B,NA,scaRNA
ENSG00000272510,AL121992.3,NA,lncRNA
ENSG00000116771,AGMAT,79814,protein_coding
ENSG00000237301,AL121992.1,NA,lncRNA
ENSG00000235084,CHCHD2P6,NA,processed_pseudogene
ENSG00000252417,RNU7-179P,NA,snRNA
ENSG00000236500,CD24P1,NA,processed_pseudogene
ENSG00000197312,DDI2,84301,protein_coding
ENSG00000215695,RSC1A1,6248,protein_coding
ENSG00000271742,AL121992.2,NA,lncRNA
ENSG00000116786,PLEKHM2,23207,protein_coding
ENSG00000237938,AL450998.3,NA,lncRNA
ENSG00000162461,SLC25A34,284723,protein_coding
ENSG00000224459,SLC25A34-AS1,NA,lncRNA
ENSG00000162460,TMEM82,388595,protein_coding
ENSG00000162458,FBLIM1,54751,protein_coding
ENSG00000224321,RPL12P14,NA,processed_pseudogene
ENSG00000233954,UQCRHL,440567,protein_coding
ENSG00000178715,AL450998.1,NA,processed_pseudogene
ENSG00000179743,AL450998.2,NA,lncRNA
ENSG00000065526,SPEN,23013,protein_coding
ENSG00000270620,AL034555.1,NA,unprocessed_pseudogene
ENSG00000116809,ZBTB17,7709,protein_coding
ENSG00000234607,AL355994.4,NA,processed_pseudogene
ENSG00000231353,AL355994.1,NA,unprocessed_pseudogene
ENSG00000275503,AL355994.5,NA,processed_pseudogene
ENSG00000224966,TBC1D3P6,NA,unprocessed_pseudogene
ENSG00000183888,SRARP,149563,protein_coding
ENSG00000233078,AL355994.3,NA,lncRNA
ENSG00000173641,HSPB7,27129,protein_coding
ENSG00000186510,CLCNKA,1187,protein_coding
ENSG00000232456,AL355994.2,NA,unprocessed_pseudogene
ENSG00000184908,CLCNKB,1188,protein_coding
ENSG00000185519,FAM131C,348487,protein_coding
ENSG00000142627,EPHA2,1969,protein_coding
ENSG00000227959,AL451042.2,NA,lncRNA
ENSG00000224621,AL451042.1,NA,lncRNA
ENSG00000142632,ARHGEF19,128272,protein_coding
ENSG00000234166,ARHGEF19-AS1,NA,lncRNA
ENSG00000237276,ANO7L1,NA,transcribed_unprocessed_pseudogene
ENSG00000132881,CPLANE2,79363,protein_coding
ENSG00000233929,MT1XP1,NA,processed_pseudogene
ENSG00000037637,FBXO42,54455,protein_coding
ENSG00000055070,SZRD1,26099,protein_coding
ENSG00000226457,RPL22P3,NA,processed_pseudogene
ENSG00000187144,SPATA21,374955,protein_coding
ENSG00000157191,NECAP2,55707,protein_coding
ENSG00000226029,LINC01772,NA,lncRNA
ENSG00000080947,CROCCP3,114819,transcribed_unprocessed_pseudogene
ENSG00000206652,RNU1-1,NA,snRNA
ENSG00000261135,AL137802.2,NA,lncRNA
ENSG00000224174,AL137802.1,NA,lncRNA
ENSG00000233421,LINC01783,NA,lncRNA
ENSG00000277344,RNU1-6P,NA,snRNA
ENSG00000225710,AL355149.1,NA,unprocessed_pseudogene
ENSG00000219481,NBPF1,55672,protein_coding
